CRN_final,cohort,grant_date_real,grant_year,Award Offered (£),Sector,Enterprise Size,enterprise_size_clean,Is Lead Participant,Innovate UK Product Type,prior_iuk_grant_received,total_iuk_grants,grant_rank,Address Region,is_crf,prior_source_grant,inc_date,company_age_at_grant,R/O Postal region,Legal form,SME indicator,Number of current directors,no_financial_data,pregrant_year,pregrant_current_assets,pregrant_current_liabilities,pregrant_total_assets,pregrant_long_term_liabilities,pregrant_net_tangible_assets,pregrant_fixed_assets,pregrant_turnover,pregrant_profit_loss,pregrant_creditors,pregrant_total_liabilities,pregrant_net_assets,pregrant_current_ratio,pregrant_leverage_ratio,pregrant_working_capital,pregrant_profit_margin,pregrant_roa,corporate_psc_flag,sic_code_dg,accounts_overdue,last_accounts_date,n_grant_rows,total_award_allgrants,first_grant_year,last_grant_year,prior_iuk_grant_received_ever,survival_36m_final,follow_on_equity_3yr,further_grant_bh
SC414386,Cohort B,2016-01-01,2016,42000.0,AI & Data Economy,Medium,Medium,Yes,Procurement,0.0,1.0,1.0,Scotland,False,,2012-12-01,3.1,Scotland,Private Limited,1.0,1,0,2015,223536,-133200.0,280153,-11180.0,146953,56617.0,,,,-144380.0,135773.0,1.678,0.515361249031779,90336.0,,,0,74100.0,0,2026-04-10,1,42000.0,2016,2016,0.0,1,0.0,1.0
OC303989,Cohort C,2016-01-01,2016,150854.0,Clean Growth & Infrastructure,Medium,Medium,Yes,Collaborative R&D,1.0,2.0,1.0,London,False,,2003-02-25,12.8,London Inner,Limited Liability Partnership,1.0,7,0,2015,5447594,-960616.0,5702739,-2943123.0,4742123,255145.0,12009376.0,2329914.0,17407.0,-3903739.0,1799000.0,5.671,0.6845375529197462,4486978.0,0.194,0.409,0,,0,2025-09-04,1,150854.0,2016,2016,1.0,1,,
04657089,Cohort C,2016-01-01,2016,20238.0,Clean Growth & Infrastructure,Micro,Micro,No,Collaborative R&D,0.0,1.0,1.0,South West,False,,2003-05-02,12.7,West Midlands,Private Limited,1.0,0,0,2015,94950,-65933.0,100586,,34653,5636.0,,,,-65933.0,34653.0,1.44,0.6554888354244129,29017.0,,,0,26513.0,1,2023-11-09,1,20238.0,2016,2016,0.0,1,,
03509216,Cohort C,2016-01-01,2016,156971.0,Clean Growth & Infrastructure,Medium,Medium,Yes,Collaborative R&D,0.0,1.0,1.0,East Midlands,False,,1998-12-02,17.1,North West,Private Limited,1.0,2,0,2015,3769419,-1589011.0,5818731,-341759.0,4229720,2049312.0,6620432.0,621331.0,314.0,-1930770.0,3887961.0,2.372,0.3318197730742322,2180408.0,0.094,0.107,0,25110.0,1,2024-12-24,1,156971.0,2016,2016,0.0,1,,
09221340,Cohort C,2016-01-01,2016,290977.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Collaborative R&D,1.0,9.0,1.0,East of England,False,,2014-09-16,1.3,Eastern,Private Limited,1.0,2,0,2015,1254861,-13072.0,1294861,,1241789,40000.0,,,,-13072.0,1281789.0,89.16025,0.01159327931658461,1241789.0,,,0,72190.0,0,2025-07-12,1,290977.0,2016,2016,1.0,1,,
01960455,Cohort C,2016-01-01,2016,86540.0,Clean Growth & Infrastructure,Medium,Medium,Yes,Feasibility Studies,1.0,15.0,1.0,West Midlands,False,,1985-11-18,30.1,West Midlands,Private Limited,1.0,4,0,2015,7141920,-2315955.0,12647381,-157705.0,10331426,5505461.0,7458240.0,-733297.0,-118361.0,-2473660.0,10173721.0,3.084,0.1955867384717832,4825965.0,-0.098,-0.058,0,72190.0,0,2025-09-17,1,86540.0,2016,2016,1.0,1,,
02654074,Cohort C,2016-01-01,2016,17176.0,Clean Growth & Infrastructure,Micro,Micro,No,Feasibility Studies,0.0,1.0,1.0,Yorkshire and The Humber,False,,1991-10-15,24.2,Yorks & Humberside,Private Limited,1.0,0,0,2015,87555,-188881.0,98758,-4940.0,-90123,11203.0,,,,-193821.0,-95063.0,0.464,1.962585309544543,-101326.0,,,0,74909.0,1,2019-10-11,1,17176.0,2016,2016,0.0,1,,
07068933,Cohort C,2016-01-01,2016,10993.0,Clean Growth & Infrastructure,Micro,Micro,No,Feasibility Studies,1.0,2.0,1.0,West Midlands,False,,2009-06-11,6.6,West Midlands,Private Limited,1.0,2,0,2015,581002,-199149.0,604305,-1837.0,405156,23303.0,,,,-200986.0,403319.0,2.917,0.3325903310414443,381853.0,,,0,82990.0,0,2025-09-13,1,10993.0,2016,2016,1.0,1,,
05849628,Cohort C,2016-01-01,2016,31428.0,Clean Growth & Infrastructure,Micro,Micro,Yes,Feasibility Studies,1.0,2.0,1.0,Yorkshire and The Humber,False,,2006-06-19,9.5,Yorks & Humberside,Private Limited,1.0,4,0,2015,47753,-109301.0,103338,,-61548,55585.0,,,,-109301.0,-5963.0,0.437,1.057703845632778,-61548.0,,,0,82990.0,0,2026-05-29,1,31428.0,2016,2016,1.0,1,,
07599502,Cohort C,2016-01-01,2016,69849.0,Clean Growth & Infrastructure,Small,Small,Yes,Feasibility Studies,0.0,1.0,1.0,South East,False,,2011-11-04,4.2,Southern,Private Limited,1.0,2,0,2015,2851797,-114020.0,3059763,,2812463,207966.0,,,,-114020.0,2945743.0,25.011,0.03726432406692937,2737777.0,,,0,72190.0,0,2025-12-18,1,69849.0,2016,2016,0.0,1,,
